file,template,sample,words,unique_words,chars,chars_nospace,lines,digits
template_9_sample_6.txt,9,6,108,89,778,670,38,36
template_9_sample_7.txt,9,7,157,120,1123,966,58,56
template_9_sample_8.txt,9,8,181,127,1306,1125,62,52
template_10_sample_1.txt,10,1,120,75,731,604,40,81
template_10_sample_2.txt,10,2,123,76,778,649,43,83
template_10_sample_3.txt,10,3,119,73,726,600,42,84
template_10_sample_4.txt,10,4,116,72,700,577,40,75
template_10_sample_5.txt,10,5,108,66,671,557,39,80
template_10_sample_6.txt,10,6,116,75,679,556,40,76
template_10_sample_7.txt,10,7,115,75,701,579,38,79
template_10_sample_8.txt,10,8,120,72,725,601,42,79
template_11_sample_1.txt,11,1,166,119,1114,935,130,352
template_11_sample_2.txt,11,2,169,120,1119,937,130,354
template_11_sample_3.txt,11,3,167,120,1116,936,130,354
template_11_sample_4.txt,11,4,170,120,1124,941,130,354
template_11_sample_5.txt,11,5,167,121,1116,936,130,354
template_11_sample_6.txt,11,6,170,115,1125,942,130,354
template_11_sample_7.txt,11,7,167,119,1116,936,130,354
template_11_sample_8.txt,11,8,168,118,1113,932,130,354
template_12_sample_1.txt,12,1,122,91,815,681,75,208
template_12_sample_2.txt,12,2,142,97,893,738,75,207
template_12_sample_3.txt,12,3,123,96,829,693,75,203
template_12_sample_4.txt,12,4,127,93,834,694,75,208
template_12_sample_5.txt,12,5,125,95,854,716,75,199
template_12_sample_6.txt,12,6,127,98,834,694,75,206
template_12_sample_7.txt,12,7,121,93,823,689,75,202
template_12_sample_8.txt,12,8,131,97,849,705,75,208
template_13_sample_1.txt,13,1,165,125,1000,830,66,72
template_13_sample_2.txt,13,2,164,124,1010,841,66,69
template_13_sample_3.txt,13,3,163,126,990,822,66,73
template_13_sample_4.txt,13,4,168,128,1000,827,66,68
template_13_sample_5.txt,13,5,161,125,994,828,66,69
template_13_sample_6.txt,13,6,166,130,1012,841,66,72
template_13_sample_7.txt,13,7,167,129,1026,854,66,73
template_13_sample_8.txt,13,8,160,125,995,830,66,68
template_14_sample_1.txt,14,1,206,144,1287,1040,58,46
template_14_sample_2.txt,14,2,213,151,1336,1080,58,44
template_14_sample_3.txt,14,3,217,153,1347,1088,58,46
template_14_sample_4.txt,14,4,208,147,1278,1029,58,45
template_14_sample_5.txt,14,5,213,152,1330,1075,58,46
template_14_sample_6.txt,14,6,220,159,1451,1188,58,46
template_14_sample_7.txt,14,7,218,150,1331,1070,58,50
template_14_sample_8.txt,14,8,210,150,1333,1080,58,47
template_15_sample_1.txt,15,1,109,87,591,483,54,143
template_15_sample_2.txt,15,2,114,91,594,481,58,144
template_15_sample_3.txt,15,3,114,91,601,488,58,153
template_15_sample_4.txt,15,4,113,87,588,476,59,143
template_15_sample_5.txt,15,5,108,86,603,496,54,143
template_15_sample_6.txt,15,6,112,85,594,483,58,143
template_15_sample_7.txt,15,7,109,88,578,470,54,143
template_15_sample_8.txt,15,8,111,86,602,492,57,143
template_16_sample_1.txt,16,1,176,145,1330,1130,26,14
template_16_sample_2.txt,16,2,184,154,1404,1194,26,19
template_16_sample_3.txt,16,3,177,144,1332,1131,26,13
template_16_sample_4.txt,16,4,181,152,1368,1161,26,19
template_16_sample_5.txt,16,5,183,153,1432,1225,26,14
template_16_sample_6.txt,16,6,188,157,1414,1200,26,19
template_16_sample_7.txt,16,7,177,146,1339,1138,26,13
template_16_sample_8.txt,16,8,193,163,1488,1269,26,19
