subset,template,sample,role,homo_template,homo_sample,hetero_template,hetero_sample
handwriting,5,5,eval,5,1,1,1
handwriting,5,6,eval,5,1,2,1
handwriting,5,7,eval,5,1,3,1
handwriting,5,8,eval,5,1,4,1
handwriting,6,1,exemplar,,,,
handwriting,6,2,eval,6,1,7,1
handwriting,6,3,eval,6,1,8,1
handwriting,6,4,eval,6,1,1,1
handwriting,6,5,eval,6,1,2,1
handwriting,6,6,eval,6,1,3,1
handwriting,6,7,eval,6,1,4,1
handwriting,6,8,eval,6,1,5,1
handwriting,7,1,exemplar,,,,
handwriting,7,2,eval,7,1,8,1
handwriting,7,3,eval,7,1,1,1
handwriting,7,4,eval,7,1,2,1
handwriting,7,5,eval,7,1,3,1
handwriting,7,6,eval,7,1,4,1
handwriting,7,7,eval,7,1,5,1
handwriting,7,8,eval,7,1,6,1
handwriting,8,1,exemplar,,,,
handwriting,8,2,eval,8,1,1,1
handwriting,8,3,eval,8,1,2,1
handwriting,8,4,eval,8,1,3,1
handwriting,8,5,eval,8,1,4,1
handwriting,8,6,eval,8,1,5,1
handwriting,8,7,eval,8,1,6,1
handwriting,8,8,eval,8,1,7,1
poor,1,1,exemplar,,,,
poor,1,2,eval,1,1,2,1
poor,1,3,eval,1,1,3,1
poor,1,4,eval,1,1,4,1
poor,1,5,eval,1,1,5,1
poor,1,6,eval,1,1,6,1
poor,1,7,eval,1,1,7,1
poor,1,8,eval,1,1,8,1
poor,2,1,exemplar,,,,
poor,2,2,eval,2,1,3,1
poor,2,3,eval,2,1,4,1
poor,2,4,eval,2,1,5,1
poor,2,5,eval,2,1,6,1
poor,2,6,eval,2,1,7,1
poor,2,7,eval,2,1,8,1
poor,2,8,eval,2,1,1,1
poor,3,1,exemplar,,,,
poor,3,2,eval,3,1,4,1
poor,3,3,eval,3,1,5,1
poor,3,4,eval,3,1,6,1
poor,3,5,eval,3,1,7,1
poor,3,6,eval,3,1,8,1
poor,3,7,eval,3,1,1,1
poor,3,8,eval,3,1,2,1
poor,4,1,exemplar,,,,
poor,4,2,eval,4,1,5,1
poor,4,3,eval,4,1,6,1
poor,4,4,eval,4,1,7,1
poor,4,5,eval,4,1,8,1
poor,4,6,eval,4,1,1,1
poor,4,7,eval,4,1,2,1
poor,4,8,eval,4,1,3,1
poor,5,1,exemplar,,,,
poor,5,2,eval,5,1,6,1
poor,5,3,eval,5,1,7,1
poor,5,4,eval,5,1,8,1
poor,5,5,eval,5,1,1,1
poor,5,6,eval,5,1,2,1
poor,5,7,eval,5,1,3,1
poor,5,8,eval,5,1,4,1
poor,6,1,exemplar,,,,
poor,6,2,eval,6,1,7,1
poor,6,3,eval,6,1,8,1
poor,6,4,eval,6,1,1,1
poor,6,5,eval,6,1,2,1
poor,6,6,eval,6,1,3,1
poor,6,7,eval,6,1,4,1
poor,6,8,eval,6,1,5,1
poor,7,1,exemplar,,,,
poor,7,2,eval,7,1,8,1
poor,7,3,eval,7,1,1,1
poor,7,4,eval,7,1,2,1
poor,7,5,eval,7,1,3,1
poor,7,6,eval,7,1,4,1
poor,7,7,eval,7,1,5,1
poor,7,8,eval,7,1,6,1
poor,8,1,exemplar,,,,
poor,8,2,eval,8,1,1,1
poor,8,3,eval,8,1,2,1
poor,8,4,eval,8,1,3,1
poor,8,5,eval,8,1,4,1
poor,8,6,eval,8,1,5,1
poor,8,7,eval,8,1,6,1
poor,8,8,eval,8,1,7,1
rotated,1,1,exemplar,,,,
rotated,1,2,eval,1,1,2,1
rotated,1,3,eval,1,1,3,1
rotated,1,4,eval,1,1,4,1
rotated,1,5,eval,1,1,5,1
rotated,1,6,eval,1,1,6,1
rotated,1,7,eval,1,1,7,1
rotated,1,8,eval,1,1,8,1
rotated,2,1,exemplar,,,,
rotated,2,2,eval,2,1,3,1
rotated,2,3,eval,2,1,4,1
rotated,2,4,eval,2,1,5,1
rotated,2,5,eval,2,1,6,1
rotated,2,6,eval,2,1,7,1
rotated,2,7,eval,2,1,8,1
rotated,2,8,eval,2,1,1,1
rotated,3,1,exemplar,,,,
rotated,3,2,eval,3,1,4,1
rotated,3,3,eval,3,1,5,1
rotated,3,4,eval,3,1,6,1
rotated,3,5,eval,3,1,7,1
rotated,3,6,eval,3,1,8,1
rotated,3,7,eval,3,1,1,1
rotated,3,8,eval,3,1,2,1
rotated,4,1,exemplar,,,,
rotated,4,2,eval,4,1,5,1
rotated,4,3,eval,4,1,6,1
rotated,4,4,eval,4,1,7,1
rotated,4,5,eval,4,1,8,1
rotated,4,6,eval,4,1,1,1
rotated,4,7,eval,4,1,2,1
rotated,4,8,eval,4,1,3,1
rotated,5,1,exemplar,,,,
rotated,5,2,eval,5,1,6,1
rotated,5,3,eval,5,1,7,1
rotated,5,4,eval,5,1,8,1
rotated,5,5,eval,5,1,1,1
rotated,5,6,eval,5,1,2,1
rotated,5,7,eval,5,1,3,1
rotated,5,8,eval,5,1,4,1
rotated,6,1,exemplar,,,,
rotated,6,2,eval,6,1,7,1
rotated,6,3,eval,6,1,8,1
rotated,6,4,eval,6,1,1,1
rotated,6,5,eval,6,1,2,1
rotated,6,6,eval,6,1,3,1
rotated,6,7,eval,6,1,4,1
rotated,6,8,eval,6,1,5,1
rotated,7,1,exemplar,,,,
rotated,7,2,eval,7,1,8,1
rotated,7,3,eval,7,1,1,1
rotated,7,4,eval,7,1,2,1
rotated,7,5,eval,7,1,3,1
rotated,7,6,eval,7,1,4,1
rotated,7,7,eval,7,1,5,1
rotated,7,8,eval,7,1,6,1
rotated,8,1,exemplar,,,,
rotated,8,2,eval,8,1,1,1
rotated,8,3,eval,8,1,2,1
rotated,8,4,eval,8,1,3,1
rotated,8,5,eval,8,1,4,1
rotated,8,6,eval,8,1,5,1
rotated,8,7,eval,8,1,6,1
rotated,8,8,eval,8,1,7,1
tables,9,1,exemplar,,,,
tables,9,2,eval,9,1,10,1
tables,9,3,eval,9,1,11,1
tables,9,4,eval,9,1,12,1
tables,9,5,eval,9,1,13,1
tables,9,6,eval,9,1,14,1
tables,9,7,eval,9,1,15,1
tables,9,8,eval,9,1,16,1
tables,10,1,exemplar,,,,
tables,10,2,eval,10,1,11,1
tables,10,3,eval,10,1,12,1
tables,10,4,eval,10,1,13,1
tables,10,5,eval,10,1,14,1
tables,10,6,eval,10,1,15,1
tables,10,7,eval,10,1,16,1
tables,10,8,eval,10,1,9,1
tables,11,1,exemplar,,,,
tables,11,2,eval,11,1,12,1
tables,11,3,eval,11,1,13,1
tables,11,4,eval,11,1,14,1
tables,11,5,eval,11,1,15,1
tables,11,6,eval,11,1,16,1
tables,11,7,eval,11,1,9,1
tables,11,8,eval,11,1,10,1
tables,12,1,exemplar,,,,
tables,12,2,eval,12,1,13,1
tables,12,3,eval,12,1,14,1
tables,12,4,eval,12,1,15,1
tables,12,5,eval,12,1,16,1
tables,12,6,eval,12,1,9,1
tables,12,7,eval,12,1,10,1
tables,12,8,eval,12,1,11,1
tables,13,1,exemplar,,,,
tables,13,2,eval,13,1,14,1
tables,13,3,eval,13,1,15,1
tables,13,4,eval,13,1,16,1
tables,13,5,eval,13,1,9,1
tables,13,6,eval,13,1,10,1
tables,13,7,eval,13,1,11,1
tables,13,8,eval,13,1,12,1
tables,14,1,exemplar,,,,
tables,14,2,eval,14,1,15,1
tables,14,3,eval,14,1,16,1
tables,14,4,eval,14,1,9,1
tables,14,5,eval,14,1,10,1
tables,14,6,eval,14,1,11,1
tables,14,7,eval,14,1,12,1
tables,14,8,eval,14,1,13,1
tables,15,1,exemplar,,,,
tables,15,2,eval,15,1,16,1
tables,15,3,eval,15,1,9,1
tables,15,4,eval,15,1,10,1
tables,15,5,eval,15,1,11,1
tables,15,6,eval,15,1,12,1
tables,15,7,eval,15,1,13,1
tables,15,8,eval,15,1,14,1
tables,16,1,exemplar,,,,
tables,16,2,eval,16,1,9,1
tables,16,3,eval,16,1,10,1
tables,16,4,eval,16,1,11,1
tables,16,5,eval,16,1,12,1
tables,16,6,eval,16,1,13,1
tables,16,7,eval,16,1,14,1
tables,16,8,eval,16,1,15,1
mixed,1,1,exemplar,,,,
mixed,1,4,eval,1,1,2,1
mixed,1,6,eval,1,1,3,1
mixed,1,7,eval,1,1,4,3
mixed,2,1,exemplar,,,,
mixed,2,2,eval,2,1,3,1
mixed,2,4,eval,2,1,4,3
mixed,2,7,eval,2,1,5,3
mixed,3,1,exemplar,,,,
mixed,3,4,eval,3,1,4,3
mixed,3,5,eval,3,1,5,3
mixed,3,8,eval,3,1,6,1
mixed,4,3,exemplar,,,,
mixed,4,5,eval,4,3,5,3
mixed,4,6,eval,4,3,6,1
mixed,4,7,eval,4,3,7,3
mixed,5,3,exemplar,,,,
mixed,5,4,eval,5,3,6,1
mixed,5,5,eval,5,3,7,3
mixed,5,7,eval,5,3,8,4
mixed,6,1,exemplar,,,,
mixed,6,2,eval,6,1,7,3
mixed,6,3,eval,6,1,8,4
mixed,6,5,eval,6,1,9,1
mixed,7,3,exemplar,,,,
mixed,7,4,eval,7,3,8,4
mixed,7,5,eval,7,3,9,1
mixed,7,8,eval,7,3,10,3
mixed,8,4,exemplar,,,,
mixed,8,5,eval,8,4,9,1
mixed,8,7,eval,8,4,10,3
mixed,8,8,eval,8,4,11,4
mixed,9,1,exemplar,,,,
mixed,9,2,eval,9,1,10,3
mixed,9,3,eval,9,1,11,4
mixed,9,4,eval,9,1,12,1
mixed,10,3,exemplar,,,,
mixed,10,4,eval,10,3,11,4
mixed,10,5,eval,10,3,12,1
mixed,10,6,eval,10,3,13,3
mixed,11,4,exemplar,,,,
mixed,11,5,eval,11,4,12,1
mixed,11,6,eval,11,4,13,3
mixed,11,8,eval,11,4,14,5
mixed,12,1,exemplar,,,,
mixed,12,2,eval,12,1,13,3
mixed,12,3,eval,12,1,14,5
mixed,12,8,eval,12,1,15,5
mixed,13,3,exemplar,,,,
mixed,13,4,eval,13,3,14,5
mixed,13,5,eval,13,3,15,5
mixed,13,6,eval,13,3,16,5
mixed,14,5,exemplar,,,,
mixed,14,6,eval,14,5,15,5
mixed,14,7,eval,14,5,16,5
mixed,14,8,eval,14,5,1,1
mixed,15,5,exemplar,,,,
mixed,15,6,eval,15,5,16,5
mixed,15,7,eval,15,5,1,1
mixed,15,8,eval,15,5,2,1
mixed,16,5,exemplar,,,,
mixed,16,6,eval,16,5,1,1
mixed,16,7,eval,16,5,2,1
mixed,16,8,eval,16,5,3,1
