document_id,template,sample,rotate_degree,condition,font color,fonts,Clarity Level,note
template_4_sample_8_norm,4,8,0,scan,black,Aptos (Body),Clear,
template_5_sample_1_norm,5,1,0,scan,black,Aptos (Body),Clear,
template_5_sample_2_norm,5,2,0,scan,black,Aptos (Body),Clear,
template_5_sample_3_norm,5,3,0,scan,black,Aptos (Body),Clear,
template_5_sample_4_norm,5,4,0,scan,black,Aptos (Body),Clear,
template_5_sample_5_norm,5,5,0,scan,black,Aptos (Body),Clear,
template_5_sample_6_norm,5,6,0,scan,black,Aptos (Body),Clear,
template_5_sample_7_norm,5,7,0,scan,black,Aptos (Body),Clear,
template_5_sample_8_norm,5,8,0,scan,black,Aptos (Body),Clear,
template_6_sample_1_norm,6,1,0,scan,black,Aptos (Body),Clear,
template_6_sample_2_norm,6,2,0,scan,black,Aptos (Body),Clear,
template_6_sample_3_norm,6,3,0,scan,black,Aptos (Body),Clear,
template_6_sample_4_norm,6,4,0,scan,black,Aptos (Body),Clear,
template_6_sample_5_norm,6,5,0,scan,black,Aptos (Body),Clear,
template_6_sample_6_norm,6,6,0,scan,black,Aptos (Body),Clear,
template_6_sample_7_norm,6,7,0,scan,black,Aptos (Body),Clear,
template_6_sample_8_norm,6,8,0,scan,black,Aptos (Body),Clear,
template_7_sample_1_norm,7,1,0,scan,black,Aptos (Body),Clear,
template_7_sample_2_norm,7,2,0,scan,black,Aptos (Body),Clear,
template_7_sample_3_norm,7,3,0,scan,black,Aptos (Body),Clear,
template_7_sample_4_norm,7,4,0,scan,black,Aptos (Body),Clear,
template_7_sample_5_norm,7,5,0,scan,black,Aptos (Body),Clear,
template_7_sample_6_norm,7,6,0,scan,black,Aptos (Body),Clear,
template_7_sample_7_norm,7,7,0,scan,black,Aptos (Body),Clear,
template_7_sample_8_norm,7,8,0,scan,black,Aptos (Body),Clear,
template_8_sample_1_norm,8,1,0,scan,black,Aptos (Body),Clear,
template_8_sample_2_norm,8,2,0,scan,black,Aptos (Body),Clear,
template_8_sample_3_norm,8,3,0,scan,black,Aptos (Body),Clear,
template_8_sample_4_norm,8,4,0,scan,black,Aptos (Body),Clear,
template_8_sample_5_norm,8,5,0,scan,black,Aptos (Body),Clear,
template_8_sample_6_norm,8,6,0,scan,black,Aptos (Body),Clear,
template_8_sample_7_norm,8,7,0,scan,black,Aptos (Body),Clear,
template_8_sample_8_norm,8,8,0,scan,black,Aptos (Body),Clear,
template_1_sample_1_rotated,1,1,210,scan,black,Aptos (Body),Clear,
template_1_sample_2_rotated,1,2,270,scan,black,Aptos (Body),Clear,
template_1_sample_3_rotated,1,3,90,scan,black,Aptos (Body),Clear,
template_1_sample_4_rotated,1,4,180,scan,black,Aptos (Body),Clear,
template_1_sample_5_rotated,1,5,90,scan,black,Aptos (Body),Clear,
template_1_sample_6_rotated,1,6,270,scan,black,Aptos (Body),Clear,
template_1_sample_7_rotated,1,7,90,scan,black,Aptos (Body),Clear,
template_1_sample_8_rotated,1,8,180,scan,black,Aptos (Body),Clear,
template_2_sample_1_rotated,2,1,120,scan,black,Aptos (Body),Clear,
template_2_sample_2_rotated,2,2,90,scan,black,Aptos (Body),Clear,
template_2_sample_3_rotated,2,3,300,scan,black,Aptos (Body),Clear,
template_2_sample_4_rotated,2,4,30,scan,black,Aptos (Body),Clear,
template_2_sample_5_rotated,2,5,270,scan,black,Aptos (Body),Clear,
template_2_sample_6_rotated,2,6,90,scan,black,Aptos (Body),Clear,
template_2_sample_7_rotated,2,7,180,scan,black,Aptos (Body),Clear,
template_2_sample_8_rotated,2,8,90,scan,black,Aptos (Body),Clear,
template_3_sample_1_rotated,3,1,160,scan,black,Aptos (Body),Clear,
template_3_sample_2_rotated,3,2,270,scan,black,Aptos (Body),Clear,
template_3_sample_3_rotated,3,3,90,scan,black,Aptos (Body),Clear,
template_3_sample_4_rotated,3,4,180,scan,black,Aptos (Body),Clear,
template_3_sample_5_rotated,3,5,90,scan,black,Aptos (Body),Clear,
template_3_sample_6_rotated,3,6,270,scan,black,Aptos (Body),Clear,
template_3_sample_7_rotated,3,7,180,scan,black,Aptos (Body),Clear,
template_3_sample_8_rotated,3,8,180,scan,black,Aptos (Body),Clear,
template_4_sample_1_rotated,4,1,210,scan,black,Aptos (Body),Clear,
template_4_sample_2_rotated,4,2,90,scan,black,Aptos (Body),Clear,
template_4_sample_3_rotated,4,3,300,scan,black,Aptos (Body),Clear,
template_4_sample_4_rotated,4,4,180,scan,black,Aptos (Body),Clear,
template_4_sample_5_rotated,4,5,90,scan,black,Aptos (Body),Clear,
template_4_sample_6_rotated,4,6,270,scan,black,Aptos (Body),Clear,
template_4_sample_7_rotated,4,7,90,scan,black,Aptos (Body),Clear,
template_4_sample_8_rotated,4,8,180,scan,black,Aptos (Body),Clear,
template_5_sample_1_rotated,5,1,300,scan,black,Aptos (Body),Clear,
template_5_sample_2_rotated,5,2,90,scan,black,Aptos (Body),Clear,
template_5_sample_3_rotated,5,3,270,scan,black,Aptos (Body),Clear,
template_5_sample_4_rotated,5,4,300,scan,black,Aptos (Body),Clear,
template_5_sample_5_rotated,5,5,90,scan,black,Aptos (Body),Clear,
template_5_sample_6_rotated,5,6,180,scan,black,Aptos (Body),Clear,
template_5_sample_7_rotated,5,7,270,scan,black,Aptos (Body),Clear,
template_5_sample_8_rotated,5,8,180,scan,black,Aptos (Body),Clear,
template_6_sample_1_rotated,6,1,150,scan,black,Aptos (Body),Clear,
template_6_sample_2_rotated,6,2,30,scan,black,Aptos (Body),Clear,
template_6_sample_3_rotated,6,3,90,scan,black,Aptos (Body),Clear,
template_6_sample_4_rotated,6,4,300,scan,black,Aptos (Body),Clear,
template_6_sample_5_rotated,6,5,90,scan,black,Aptos (Body),Clear,
template_6_sample_6_rotated,6,6,90,scan,black,Aptos (Body),Clear,
template_6_sample_7_rotated,6,7,270,scan,black,Aptos (Body),Clear,
template_6_sample_8_rotated,6,8,180,scan,black,Aptos (Body),Clear,
template_7_sample_1_rotated,7,1,180,scan,black,Aptos (Body),Clear,
template_7_sample_2_rotated,7,2,180,scan,black,Aptos (Body),Clear,
template_7_sample_3_rotated,7,3,90,scan,black,Aptos (Body),Clear,
template_7_sample_4_rotated,7,4,90,scan,black,Aptos (Body),Clear,
template_7_sample_5_rotated,7,5,90,scan,black,Aptos (Body),Clear,
template_7_sample_6_rotated,7,6,180,scan,black,Aptos (Body),Clear,
template_7_sample_7_rotated,7,7,270,scan,black,Aptos (Body),Clear,
template_7_sample_8_rotated,7,8,180,scan,black,Aptos (Body),Clear,
template_8_sample_1_rotated,8,1,180,scan,black,Aptos (Body),Clear,
template_8_sample_2_rotated,8,2,270,scan,black,Aptos (Body),Clear,
template_8_sample_3_rotated,8,3,30,scan,black,Aptos (Body),Clear,
template_8_sample_4_rotated,8,4,50,scan,black,Aptos (Body),Clear,
template_8_sample_5_rotated,8,5,90,scan,black,Aptos (Body),Clear,
template_8_sample_6_rotated,8,6,180,scan,black,Aptos (Body),Clear,
template_8_sample_7_rotated,8,7,270,scan,black,Aptos (Body),Clear,
template_8_sample_8_rotated,8,8,180,scan,black,Aptos (Body),Clear,
template_1_sample_1_poor,1,1,0,phone camera,black,Aptos (Body),Clear,different degree angle
template_1_sample_2_poor,1,2,0,phone camera,black,Aptos (Body),Clear,Fold the paper
template_1_sample_3_poor,1,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, light and shadow"
template_1_sample_4_poor,1,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_1_sample_5_poor,1,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_1_sample_6_poor,1,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_1_sample_7_poor,1,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_1_sample_8_poor,1,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_2_sample_1_poor,2,1,0,phone camera,black,Aptos (Body),Clear,"different degree angle, Fold the corner"
template_2_sample_2_poor,2,2,0,phone camera,black,Aptos (Body),Clear,Fold the paper
template_2_sample_3_poor,2,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, light and shadow"
template_2_sample_4_poor,2,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_2_sample_5_poor,2,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_2_sample_6_poor,2,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_2_sample_7_poor,2,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_2_sample_8_poor,2,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_3_sample_1_poor,3,1,0,phone camera,black,Aptos (Body),Clear,different degree angle
template_3_sample_2_poor,3,2,0,phone camera,black,Aptos (Body),Clear,Fold the corner
template_3_sample_3_poor,3,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, light and shadow"
template_3_sample_4_poor,3,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_3_sample_5_poor,3,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_3_sample_6_poor,3,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_3_sample_7_poor,3,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_3_sample_8_poor,3,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_4_sample_1_poor,4,1,0,phone camera,black,Aptos (Body),Clear,different degree angle
template_4_sample_2_poor,4,2,0,phone camera,black,Aptos (Body),Clear,Added hand effects
template_4_sample_3_poor,4,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, underline"
template_4_sample_4_poor,4,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_4_sample_5_poor,4,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_4_sample_6_poor,4,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_4_sample_7_poor,4,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_4_sample_8_poor,4,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_5_sample_1_poor,5,1,0,phone camera,black,Aptos (Body),Clear,"different degree angle, Fold the paper"
template_5_sample_2_poor,5,2,0,phone camera,black,Aptos (Body),Clear,"Fold the paper, shadow"
template_5_sample_3_poor,5,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, light and shadow, underline"
template_5_sample_4_poor,5,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_5_sample_5_poor,5,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_5_sample_6_poor,5,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_5_sample_7_poor,5,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_5_sample_8_poor,5,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_6_sample_1_poor,6,1,0,phone camera,black,Aptos (Body),Clear,"different degree angle, Fold the paper"
template_6_sample_2_poor,6,2,0,phone camera,black,Aptos (Body),Clear,"shadow, Fold the pape, Added hand effects"
template_6_sample_3_poor,6,3,0,phone camera,black,Aptos (Body),Clear,"hand effects, light and shadow, highlighter"
template_6_sample_4_poor,6,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_6_sample_5_poor,6,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_6_sample_6_poor,6,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_6_sample_7_poor,6,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_6_sample_8_poor,6,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_7_sample_1_poor,7,1,0,phone camera,black,Aptos (Body),Clear,"different degree angle, highlighter"
template_7_sample_2_poor,7,2,0,phone camera,black,Aptos (Body),Clear,highlighter
template_7_sample_3_poor,7,3,0,phone camera,black,Aptos (Body),Clear,"Glass background panel, hand effects, light and shadow, underline"
template_7_sample_4_poor,7,4,0,phone camera,black,Aptos (Body),Clear,filters
template_7_sample_5_poor,7,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_7_sample_6_poor,7,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_7_sample_7_poor,7,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_7_sample_8_poor,7,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_8_sample_1_poor,8,1,0,phone camera,black,Aptos (Body),Clear,"different degree angle, Fold the paper"
template_8_sample_2_poor,8,2,0,phone camera,black,Aptos (Body),Clear,highlighter
template_8_sample_3_poor,8,3,0,phone camera,black,Aptos (Body),Clear,"Glass background panel, hand effects, light and shadow"
template_8_sample_4_poor,8,4,0,phone camera,black,Aptos (Body),Blurry,filters
template_8_sample_5_poor,8,5,0,scan,black,Aptos (Body),Blurry,5 layer plastic folder + 600 pixel
template_8_sample_6_poor,8,6,0,scan,black,Aptos (Body),Blurry,5 layer folder+ Crumple paper(1700 pixel)
template_8_sample_7_poor,8,7,0,scan,black,Aptos (Body),Blurry,2 times copy + 800 pixel
template_8_sample_8_poor,8,8,0,scan,black,Aptos (Body),Blurry,3 times copy+ Crumple paper
template_1_sample_1_handwriting,1,1,0,scan,dark blue,Rembank,Blurry,
template_1_sample_2_handwriting,1,2,0,scan,dark blue,Ruthligos,Blurry,
template_1_sample_3_handwriting,1,3,0,scan,dark teal,Safarnama Signature,Very Clear,
template_1_sample_4_handwriting,1,4,0,scan,dark blue,Rastanty Cortez,Clear,
template_1_sample_5_handwriting,1,5,0,scan,dark teal,Segoe Script,Blurry,
template_1_sample_6_handwriting,1,6,0,scan,dark teal,Scriptina,Blurry,
template_1_sample_7_handwriting,1,7,0,scan,dark blue,sheenline script,Blurry,
template_1_sample_8_handwriting,1,8,0,scan,black,Shellomita,Blurry,
template_2_sample_1_handwriting,2,1,0,scan+overlay,dark blue,Rage Italic,Blurry,
template_2_sample_2_handwriting,2,2,0,scan,black,Raimond FREE,Unreadable,
template_2_sample_3_handwriting,2,3,0,scan,black,Risolla Calisto,Blurry,
template_2_sample_4_handwriting,2,4,0,scan,dark teal,Signerica Thin,Unreadable,
template_2_sample_5_handwriting,2,5,0,scan+overlay,black,Rosellinda Alyamore,Blurry,
template_2_sample_6_handwriting,2,6,0,scan+overlay,black,a Auto Signature,Unreadable,
template_2_sample_7_handwriting,2,7,0,scan,black,Simply*Glamorous,Blurry,
template_2_sample_8_handwriting,2,8,0,scan+overlay,black,Peacelove,Unreadable,
template_3_sample_1_handwriting,3,1,0,scan,dark teal,Scriptina,Blurry,
template_3_sample_2_handwriting,3,2,0,scan+overlay,black,Andrea Bilarosa,Unreadable,
template_3_sample_3_handwriting,3,3,0,scan,black,Shellomita,Blurry,
template_3_sample_4_handwriting,3,4,0,scan,black,Aline Signature,Unreadable,
template_3_sample_5_handwriting,3,5,0,scan,dark teal,Adorable Line,Unreadable,
template_3_sample_6_handwriting,3,6,0,scan,dark teal,Andellia Davilton,Unreadable,
template_3_sample_7_handwriting,3,7,0,scan+overlay,black,Angelface,Clear,
template_3_sample_8_handwriting,3,8,0,scan,black,Sweetly Broken,Unreadable,
template_4_sample_1_handwriting,4,1,0,scan+overlay,black,Anjel Script,Unreadable,
template_4_sample_2_handwriting,4,2,0,scan,black,Antro Vectra,Blurry,
template_4_sample_3_handwriting,4,3,0,scan+overlay,black,Arianta Syahrini,Blurry,
template_4_sample_4_handwriting,4,4,0,scan,black,Artful Beauty,Clear,
template_4_sample_5_handwriting,4,5,0,scan,dark teal,Arion Typeface Alt,Clear,
template_4_sample_6_handwriting,4,6,0,scan+overlay,dark teal,Augustinne,Clear,
template_4_sample_7_handwriting,4,7,0,scan+overlay,black,Autography,Clear,
template_4_sample_8_handwriting,4,8,0,scan,black,Autumn Chant,Unreadable,
template_5_sample_1_handwriting,5,1,0,scan,black,The Yoshi,Blurry,
template_5_sample_2_handwriting,5,2,0,scan+overlay,black,bagadang,Clear,
template_5_sample_3_handwriting,5,3,0,scan,dark teal,Balista,Clear,
template_5_sample_4_handwriting,5,4,0,scan,black,Balistone,Blurry,
template_5_sample_5_handwriting,5,5,0,scan+overlay,black,Beauty,Clear,
template_5_sample_6_handwriting,5,6,0,scan,dark teal,Belights,Clear,
template_5_sample_7_handwriting,5,7,0,scan,black,Biloxi Script,Clear,
template_5_sample_8_handwriting,5,8,0,scan+overlay,black,Brooke Smith Script,Blurry,
template_6_sample_1_handwriting,6,1,0,scan+overlay,black,Candia Script Font,Blurry,
template_6_sample_2_handwriting,6,2,0,scan,black,Canonatia,Clear,
template_6_sample_3_handwriting,6,3,0,scan,black,Caramella,Unreadable,
template_6_sample_4_handwriting,6,4,0,scan,black,Velocity - DEMO,Blurry,
template_6_sample_5_handwriting,6,5,0,scan,black,Cherolina,Clear,
template_6_sample_6_handwriting,6,6,0,scan+overlay,dark teal,Dream  Catcher,Unreadable,
template_6_sample_7_handwriting,6,7,0,scan,black,Dreaming Outloud Script Pro,Clear,
template_6_sample_8_handwriting,6,8,0,scan,black,DreamOnly,Unreadable,
template_7_sample_1_handwriting,7,1,0,scan+overlay,black,Emelynd,Clear,
template_7_sample_2_handwriting,7,2,0,scan+overlay,black,England,Blurry,
template_7_sample_3_handwriting,7,3,0,scan+overlay,black,Febyetska,Blurry,
template_7_sample_4_handwriting,7,4,0,scan+overlay,black,Hamilton,Blurry,
template_7_sample_5_handwriting,7,5,0,scan+overlay,black,Herlyna,Unreadable,
template_7_sample_6_handwriting,7,6,0,scan+overlay,black,Memories,Unreadable,
template_7_sample_7_handwriting,7,7,0,scan+overlay,black,Marcello,Blurry,
template_7_sample_8_handwriting,7,8,0,scan+overlay,black,Misano Adriatico_3,Blurry,
template_8_sample_1_handwriting,8,1,0,scan+overlay,black,Miss Stanfort,Blurry,
template_8_sample_2_handwriting,8,2,0,scan+overlay,dark teal,Hamilton,Blurry,
template_8_sample_3_handwriting,8,3,0,scan+overlay,black,Vineshia jonhson,Unreadable,
template_8_sample_4_handwriting,8,4,0,scan+overlay,black,Peacelove,Unreadable,
template_8_sample_5_handwriting,8,5,0,scan+overlay,black,Photograph Signature,Blurry,
template_8_sample_6_handwriting,8,6,0,scan,dark blue,Presidente,Blurry,
template_8_sample_7_handwriting,8,7,0,scan+overlay,black,Qhueeny Signature,Unreadable,
template_8_sample_8_handwriting,8,8,0,scan,black,Quentin,Blurry,
template_9_sample_1_table,9,1,0,scan,black,Aptos (Body),Clear,
template_9_sample_2_table,9,2,0,scan,black,Aptos (Body),Clear,
template_9_sample_3_table,9,3,0,scan,black,Aptos (Body),Clear,
template_9_sample_4_table,9,4,0,scan,black,Aptos (Body),Clear,
template_9_sample_5_table,9,5,0,scan,black,Aptos (Body),Clear,
template_9_sample_6_table,9,6,0,scan,black,Aptos (Body),Clear,
template_9_sample_7_table,9,7,0,scan,black,Aptos (Body),Clear,
template_9_sample_8_table,9,8,0,scan,black,Aptos (Body),Clear,
template_10_sample_1_table,10,1,0,scan,black,Aptos (Body),Clear,
template_10_sample_2_table,10,2,0,scan,black,Aptos (Body),Clear,
template_10_sample_3_table,10,3,0,scan,black,Aptos (Body),Clear,
template_10_sample_4_table,10,4,0,scan,black,Aptos (Body),Clear,
template_10_sample_5_table,10,5,0,scan,black,Aptos (Body),Clear,
template_10_sample_6_table,10,6,0,scan,black,Aptos (Body),Clear,
template_10_sample_7_table,10,7,0,scan,black,Aptos (Body),Clear,
template_10_sample_8_table,10,8,0,scan,black,Aptos (Body),Clear,
template_11_sample_1_table,11,1,0,scan,black,Aptos (Body),Clear,
template_11_sample_2_table,11,2,0,scan,black,Aptos (Body),Clear,
template_11_sample_3_table,11,3,0,scan,black,Aptos (Body),Clear,
template_11_sample_4_table,11,4,0,scan,black,Aptos (Body),Clear,
template_11_sample_5_table,11,5,0,scan,black,Aptos (Body),Clear,
template_11_sample_6_table,11,6,0,scan,black,Aptos (Body),Clear,
template_11_sample_7_table,11,7,0,scan,black,Aptos (Body),Clear,
template_11_sample_8_table,11,8,0,scan,black,Aptos (Body),Clear,
template_12_sample_1_table,12,1,0,scan,black,Aptos (Body),Clear,
template_12_sample_2_table,12,2,0,scan,black,Aptos (Body),Clear,
template_12_sample_3_table,12,3,0,scan,black,Aptos (Body),Clear,
template_12_sample_4_table,12,4,0,scan,black,Aptos (Body),Clear,
template_12_sample_5_table,12,5,0,scan,black,Aptos (Body),Clear,
template_12_sample_6_table,12,6,0,scan,black,Aptos (Body),Clear,
template_12_sample_7_table,12,7,0,scan,black,Aptos (Body),Clear,
template_12_sample_8_table,12,8,0,scan,black,Aptos (Body),Clear,
template_13_sample_1_table,13,1,0,scan,black,Aptos (Body),Clear,
template_13_sample_2_table,13,2,0,scan,black,Aptos (Body),Clear,
template_13_sample_3_table,13,3,0,scan,black,Aptos (Body),Clear,
template_13_sample_4_table,13,4,0,scan,black,Aptos (Body),Clear,
template_13_sample_5_table,13,5,0,scan,black,Aptos (Body),Clear,
template_13_sample_6_table,13,6,0,scan,black,Aptos (Body),Clear,
template_13_sample_7_table,13,7,0,scan,black,Aptos (Body),Clear,
template_13_sample_8_table,13,8,0,scan,black,Aptos (Body),Clear,
template_14_sample_1_table,14,1,0,scan,black,Aptos (Body),Clear,
template_14_sample_2_table,14,2,0,scan,black,Aptos (Body),Clear,
template_14_sample_3_table,14,3,0,scan ,black,Aptos (Body),Clear,
template_14_sample_4_table,14,4,0,scan ,black,Aptos (Body),Clear,
template_14_sample_5_table,14,5,0,scan ,black,Aptos (Body),Clear,
template_14_sample_6_table,14,6,0,scan ,black,Aptos (Body),Clear,
template_14_sample_7_table,14,7,0,scan ,black,Aptos (Body),Clear,
template_14_sample_8_table,14,8,0,scan ,black,Aptos (Body),Clear,
template_15_sample_1_table,15,1,0,scan ,black,Aptos (Body),Clear,
template_15_sample_2_table,15,2,0,scan ,black,Aptos (Body),Clear,
template_15_sample_3_table,15,3,0,scan ,black,Aptos (Body),Clear,
template_15_sample_4_table,15,4,0,scan ,black,Aptos (Body),Clear,
template_15_sample_5_table,15,5,0,scan ,black,Aptos (Body),Clear,
template_15_sample_6_table,15,6,0,scan ,black,Aptos (Body),Clear,
template_15_sample_7_table,15,7,0,scan ,black,Aptos (Body),Clear,
template_15_sample_8_table,15,8,0,scan ,black,Aptos (Body),Clear,
template_16_sample_1_table,16,1,0,scan ,black,Aptos (Body),Clear,
template_16_sample_2_table,16,2,0,scan ,black,Aptos (Body),Clear,
template_16_sample_3_table,16,3,0,scan ,black,Aptos (Body),Clear,
template_16_sample_4_table,16,4,0,scan ,black,Aptos (Body),Clear,
template_16_sample_5_table,16,5,0,scan ,black,Aptos (Body),Clear,
template_16_sample_6_table,16,6,0,scan ,black,Aptos (Body),Clear,
template_16_sample_7_table,16,7,0,scan ,black,Aptos (Body),Clear,
template_16_sample_8_table,16,8,0,scan ,black,Aptos (Body),Clear,
template_1_sample_1_mixed_handwriting,1,1,90,scan ,dark blue,Rembank,Blurry," Crumple paper, 600 pixel"
template_1_sample_4_mixed_handwriting,1,4,180,phone ,dark blue,Rastanty Cortez,Clear,"Fold the paper, light and shadow"
template_1_sample_6_mixed_handwriting,1,6,270,phone ,dark teal,Scriptina,Blurry,"hand effects, light and shadow"
template_1_sample_7_mixed_handwriting,1,7,0,phone ,dark blue,sheenline script,Blurry,"different degree angle, light and shadow"
template_2_sample_1_mixed_handwriting,2,1,90,phone +overlay,dark blue,Rage Italic,Blurry,Fold the paper
template_2_sample_2_mixed_handwriting,2,2,180,phone ,black,Raimond FREE,Unreadable,"highlighter, filters"
template_2_sample_4_mixed_handwriting,2,4,90,scan ,dark teal,Signerica Thin,Unreadable,"5 layer folder,filters"
template_2_sample_7_mixed_handwriting,2,7,180,scan,black,Simply*Glamorous,Blurry,"highlighter,  600 pixel"
template_3_sample_1_mixed_handwriting,3,1,270,scan ,dark teal,Scriptina,Blurry,"Crumple paper, 600 pixel, 5 layer folder"
template_3_sample_4_mixed_handwriting,3,4,180,phone ,black,Aline Signature,Unreadable," Crumple paper,"
template_3_sample_5_mixed_handwriting,3,5,270,phone ,dark teal,Adorable Line,Unreadable,"hand effects, light and shadow"
template_3_sample_8_mixed_handwriting,3,8,0,scan ,black,Sweetly Broken,Unreadable,"highlighter,  600 pixel"
template_4_sample_3_mixed_handwriting,4,3,0,phone +overlay,black,Arianta Syahrini,Blurry," Crumple paper,"
template_4_sample_5_mixed_handwriting,4,5,180,phone ,dark teal,Arion Typeface Alt,Clear,"Fold the paper, highlighter"
template_4_sample_6_mixed_handwriting,4,6,90,scan+overlay,dark teal,Augustinne,Clear,"5 layer folder,filters"
template_4_sample_7_mixed_handwriting,4,7,180,scan+overlay,black,Autography,Clear,"Crumple paper, 600 pixel, 5 layer folder"
template_5_sample_3_mixed_handwriting,5,3,180,scan ,dark teal,Balista,Clear,"highlighter,  600 pixel"
template_5_sample_4_mixed_handwriting,5,4,0,scan ,black,Balistone,Blurry,"Crumple paper, 600 pixel, 5 layer folder"
template_5_sample_5_mixed_handwriting,5,5,90,phone +overlay,black,Beauty,Clear,"Highlighter,  600 pixel"
template_5_sample_7_mixed_handwriting,5,7,270,phone ,black,Biloxi Script,Clear,"Hand effects, light and shadow"
